Load,Throughput,Avg,95%,99%
0,0,9,36,50
10,10.41,3,4,11
20,20.82,3,4,11
30,31.21,3,4,11
40,41.59,3,4,11
50,51.95,3,4,11
60,62.4,3,4,10
70,72.79,3,5,11
80,83.15,3,4,13
90,93.54,3,5,11
100,103.88,3,4,11
