Load,Throughput,Avg,95%,99%
0,0,0,1,1
10,90.78,0,1,1
20,181.16,0,1,1
30,271.1,0,1,1
40,360.79,0,1,2
50,449.33,0,1,1
60,539.12,0,1,2
70,628.04,0,1,2
80,717.16,0,1,2
90,805.59,0,2,3
100,893.1,0,2,3
