Load,Throughput,Avg,95%,99%
0,0,0,1,2
10,90.58,2,6,8
20,180.88,1,2,4
30,270.63,2,9,10
40,360.01,1,5,6
50,448.71,4,12,15
60,528.89,11,33,38
70,627.94,7,24,28
80,716.84,5,23,29
90,806.05,11,29,34
100,893.54,16,41,48
