Load,Throughput,Avg,95%,99%
0,0,22,39,45
10,90.71,25,42,48
20,180.67,34,72,99
30,269.94,17,36,45
40,359.02,25,47,57
50,448.12,31,61,74
60,538.06,17,56,71
70,626.63,23,66,87
80,714.88,45,170,270
90,734.79,89,540,770
100,739.2,103,610,850
