Load,Throughput,Avg,95%,99%
0,0,39,90,150
10,90.77,23,43,52
20,180.76,26,62,81
30,270.53,22,54,71
40,359.76,17,38,48
50,448.74,30,51,59
60,537.96,15,36,48
70,627.16,30,64,83
80,716.46,53,180,270
90,723.84,45,180,350
100,727.24,42,170,360
