Load,Throughput,Avg,95%,99%
0,0.0,35,76,130
10,90.71,28,48,59
20,180.81,23,52,66
30,270.37,23,54,67
40,359.74,24,53,65
50,449.27,21,47,62
60,537.72,10,25,42
70,627.27,32,60,82
80,715.84,55,180,240
90,738.45,40,140,290
100,735.37,45,170,370
