Load,Throughput,Avg,95%,99%
0,0,19,49,96
10,90.52,21,48,75
20,180.56,15,46,72
30,269.69,14,36,58
40,359.11,11,25,45
50,448.17,18,50,76
60,537.76,24,80,120
70,626.92,27,80,120
80,713.04,42,160,230
90,722.74,49,200,300
100,727.39,50,190,290
